ImageNumber, LowDimNumber
1, 0
10, 64
100, 128
1000, 192
10000, 256
10001, 320
10002, 384
10003, 448
10004, 512
10005, 576
10006, 640
10007, 704
10008, 768
10009, 832
1001, 896
10010, 960
10011, 1024
10012, 1088
10013, 1152
10014, 1216
10015, 1280
10016, 1344
10017, 1408
10018, 1472
10019, 1536
1002, 1600
10020, 1664
10021, 1728
10022, 1792
10023, 1856
10024, 1920
10025, 1984
10026, 2048
10027, 2112
10028, 2176
10029, 2240
1003, 2304
10030, 2368
10031, 2432
10032, 2496
10033, 2560
10034, 2624
10035, 2688
10036, 2752
10037, 2816
10038, 2880
10039, 2944
1004, 3008
10040, 3072
10041, 3136
10042, 3200
10043, 3264
10044, 3328
10045, 3392
10046, 3456
10047, 3520
10048, 3584
10049, 3648
1005, 3712
10050, 3776
10051, 3840
10052, 3904
10053, 3968
10054, 4032
10055, 4096
10056, 4160
10057, 4224
10058, 4288
10059, 4352
1006, 4416
10060, 4480
10061, 4544
10062, 4608
10063, 4672
10064, 4736
10065, 4800
10066, 4864
10067, 4928
10068, 4992
10069, 5056
1007, 5120
10070, 5184
10071, 5248
10072, 5312
10073, 5376
10074, 5440
10075, 5504
10076, 5568
10077, 5632
10078, 5696
10079, 5760
1008, 5824
10080, 5888
10081, 5952
10082, 6016
10083, 6080
10084, 6144
10085, 6208
10086, 6272
10087, 6336
10088, 6400
10089, 6464
1009, 6528
10090, 6592
10091, 6656
10092, 6720
10093, 6784
10094, 6848
10095, 6912
10096, 6976
10097, 7040
10098, 7104
10099, 7168
101, 7232
1010, 7296
10100, 7360
10101, 7424
10102, 7488
10103, 7552
10104, 7616
10105, 7680
10106, 7744
10107, 7808
10108, 7872
10109, 7936
1011, 8000
10110, 8064
10111, 8128
10112, 8192
10113, 8256
10114, 8320
10115, 8384
10116, 8448
10117, 8512
10118, 8576
10119, 8640
1012, 8704
10120, 8768
10121, 8832
10122, 8896
10123, 8960
10124, 9024
10125, 9088
10126, 9152
10127, 9216
10128, 9280
10129, 9344
1013, 9408
10130, 9472
10131, 9536
10132, 9600
10133, 9664
10134, 9728
10135, 9792
10136, 9856
10137, 9920
10138, 9984
10139, 10048
1014, 10112
10140, 10176
10141, 10240
10142, 10304
10143, 10368
10144, 10432
10145, 10496
10146, 10560
10147, 10624
10148, 10688
10149, 10752
1015, 10816
10150, 10880
10151, 10944
10152, 11008
10153, 11072
10154, 11136
10155, 11200
10156, 11264
